DRG14601	直腸切除術，年齡大於等於41歲，有合併症或併發症
DRG14602	直腸切除術，年齡 0-40 歲，有合併症或併發症
DRG14701	直腸切除術，年齡大於等於41歲，無合併症或併發症
DRG14702	直腸切除術，年齡 0-40 歲，無合併症或併發症
DRG14801	小腸及大腸重大之手術(1)，有合併症或併發症
DRG14901	小腸及大腸重大之手術(1)，無合併症或併發症
DRG14802	小腸及大腸重大之手術(2)，有合併症或併發症
DRG14902	小腸及大腸重大之手術(2)，無合併症或併發症
DRG14803	小腸及大腸重大之手術(3)，有合併症或併發症
DRG14903	小腸及大腸重大之手術(3)，無合併症或併發症
DRG14804	小腸及大腸重大之手術(4)，有合併症或併發症
DRG14904	小腸及大腸重大之手術(4)，無合併症或併發症
DRG14805	小腸及大腸重大之手術(5)，有合併症或併發症
DRG14905	小腸及大腸重大之手術(5)，無合併症或併發症
DRG150	腹膜黏連鬆解術，有合併症或併發症
DRG151	腹膜黏連鬆解術，無合併症或併發症
DRG152	小腸及大腸小手術，有合併症或併發症
DRG153	小腸及大腸小手術，無合併症或併發症
DRG15401	胃、食道及十二指腸手術(1)，年齡大於等於18歲，有合併症或併發症
DRG15501	胃、食道及十二指腸手術(1)，年齡大於等於18歲，無合併症或併發症
DRG15601	胃、食道及十二指腸手術(1)，年齡0-17歲，有合併症或併發症
DRG15602	胃、食道及十二指腸手術(1)，年齡0-17歲，無合併症或併發症
DRG15402	胃、食道及十二指腸手術(2)，年齡大於等於18歲，有合併症或併發症
DRG15502	胃、食道及十二指腸手術(2)，年齡大於等於18歲，無合併症或併發症
DRG15603	胃、食道及十二指腸手術(2)，年齡0-17歲，有合併症或併發症
DRG15604	胃、食道及十二指腸手術(2)，年齡0-17歲，無合併症或併發症
DRG15403	胃、食道及十二指腸手術(3)，年齡大於等於18歲，有合併症或併發症
DRG15503	胃、食道及十二指腸手術(3)，年齡大於等於18歲，無合併症或併發症
DRG15605	胃、食道及十二指腸手術(3)，年齡0-17歲，有合併症或併發症
DRG15606	胃、食道及十二指腸手術(3)，年齡0-17歲，無合併症或併發症
DRG15404	胃、食道及十二指腸手術(4)，年齡大於等於18歲，有合併症或併發症
DRG15504	胃、食道及十二指腸手術(4)，年齡大於等於18歲，無合併症或併發症
DRG15607	胃、食道及十二指腸手術(4)，年齡0-17歲，有合併症或併發症
DRG15608	胃、食道及十二指腸手術(4)，年齡0-17歲，無合併症或併發症
DRG15701	肛門及廔孔手術(1)，有合併症或併發症
DRG15801	肛門及廔孔手術(1)，無合併症或併發症
DRG15702	肛門及廔孔手術(2)，有合併症或併發症
DRG15802	肛門及廔孔手術(2)，無合併症或併發症
DRG159	疝氣手術，股及腹股溝疝氣手術除外，年齡大於等於18歲，有合併症或併發症
DRG160	疝氣手術，股及腹股溝疝氣手術除外，年齡大於等於18歲，無合併症或併發症
DRG16101	雙側股及腹股溝疝氣手術，年齡大於等於18歲，有合併症或併發症
DRG16201	雙側股及腹股溝疝氣手術，年齡大於等於18歲，無合併症或併發症
DRG16102	單側股及腹股溝疝氣手術，年齡大於等於18歲，有合併症或併發症
DRG16202	單側股及腹股溝疝氣手術，年齡大於等於18歲，無合併症或併發症
DRG16301	腹壁畸形之疝氣手術，年齡0-17歲，有合併症或併發症
DRG16302	腹壁畸形之疝氣手術，年齡0-17歲，無合併症或併發症
