DRG191	胰、肝及其吻合性手術，有合併症或併發症
DRG192	胰、肝及其吻合性手術，無合併症或併發症
DRG193	膽道手術，膽囊切除術除外，有或無總膽管探查，有合併症或併發症
DRG194	膽道手術，膽囊切除術除外，有或無總膽管探查，無合併症或併發症
DRG195	膽囊切除術，有總膽管探查，有合併症或併發症
DRG196	膽囊切除術，有總膽管探查，無合併症或併發症
DRG197	膽囊切除術，無總膽管探查，有合併症或併發症
DRG198	膽囊切除術，無總膽管探查，無合併症或併發症
DRG199	肝、膽原位癌之診斷性手術
DRG20001	其他肝、膽之診斷性手術，有合併症或併發症
DRG20002	其他肝、膽之診斷性手術，無合併症或併發症
DRG20101	其他肝、膽或胰臟手術，有合併症與併發症
DRG20102	其他肝、膽或胰臟手術，無合併症與併發症
DRG20201	肝硬化及酒精性肝炎，有合併症或併發症
DRG20202	肝硬化及酒精性肝炎，無合併症或併發症
DRG20301	肝、膽系統原位癌，有合併症或併發症
DRG20302	肝、膽系統原位癌，無合併症或併發症
DRG20401	胰臟疾患
DRG20402	胰臟創傷或移植後，有合併症或併發症
DRG20403	胰臟創傷或移植後，無合併症或併發症
DRG205	肝疾患，肝硬化及酒精性肝炎除外，有合併症或併發症
DRG206	肝疾患，肝硬化及酒精性肝炎除外， 無合併症或併發症
DRG207	膽道疾患，有合併症或併發症
DRG208	膽道疾患，無合併症或併發症
DRG49301	腹腔鏡膽囊切除術，有內視鏡手術，無總膽管探查，有合併症或併發症
DRG49401	腹腔鏡膽囊切除術，有內視鏡手術，無總膽管探查，無合併症或併發症
DRG49302	腹腔鏡膽囊切除術，無內視鏡手術，無總膽管探查，有合併症或併發症
DRG49402	腹腔鏡膽囊切除術，無內視鏡手術，無總膽管探查，無合併症或併發症
