DRG28501	內分泌、營養及新陳代謝疾患之下肢截斷術，有合併症或併發症
DRG28502	內分泌、營養及新陳代謝疾患之下肢截斷術，無合併症或併發症
DRG28601	腎上腺及腦下垂體手術，有合併症或併發症
DRG28602	腎上腺及腦下垂體手術，無合併症或併發症
DRG28701	內分泌、營養及新陳代謝疾患之皮膚移植及擴創術，有合併症或併發症
DRG28702	內分泌、營養及新陳代謝疾患之皮膚移植及擴創術，無合併症或併發症
DRG28801	肥胖手術，有合併症或併發症
DRG28802	肥胖手術，無合併症或併發症
DRG28901	副甲狀腺手術，有合併症或併發症
DRG28902	副甲狀腺手術，無合併症或併發症
DRG290	甲狀腺手術
DRG29101	甲狀舌管手術，有合併症或併發症
DRG29102	甲狀舌管手術，無合併症或併發症
DRG292	其他內分泌、營養及新陳代謝手術，有合併症或併發症
DRG293	其他內分泌、營養及新陳代謝手術，無合併症或併發症
DRG29401	糖尿病，年齡大於等於36歲，有合併症或併發症
DRG29402	糖尿病，年齡大於等於36歲，無合併症或併發症
DRG29501	糖尿病，年齡0-35歲，有合併症或併發症
DRG29502	糖尿病，年齡0-35歲，無合併症或併發症
DRG29601	營養及各種新陳代謝疾患(1)，年齡大於等於18歲，有合併症或併發症
DRG29701	營養及各種新陳代謝疾患(1)，年齡大於等於18歲，無合併症或併發症
DRG29801	營養及各種新陳代謝疾患(1)，年齡0-17歲，有合併症或併發症
DRG29802	營養及各種新陳代謝疾患(1)，年齡0-17歲，無合併症或併發症
DRG29602	營養及各種新陳代謝疾患(2)，年齡大於等於18歲，有合併症或併發症
DRG29702	營養及各種新陳代謝疾患(2)，年齡大於等於18歲，無合併症或併發症
DRG29803	營養及各種新陳代謝疾患(2)，年齡0-17歲，有合併症或併發症
DRG29804	營養及各種新陳代謝疾患(2)，年齡0-17歲，無合併症或併發症
DRG29901	先天性新陳代謝異常(1)，有合併症或併發症
DRG29902	先天性新陳代謝異常(1)，無合併症或併發症
DRG29903	先天性新陳代謝異常(2)，有合併症或併發症
DRG29904	先天性新陳代謝異常(2)，無合併症或併發症
DRG30001	內分泌系統良性腫瘤，有合併症或併發症
DRG30101	內分泌系統良性腫瘤，無合併症或併發症
DRG30002	內分泌疾患，有合併症或併發症
DRG30102	內分泌疾患，無合併症或併發症
