DRGN01	新生兒出生>=28天
DRGN02	新生兒出生2日內死亡
DRGN03	出生<=27天，出生體重<1000公克，且出院時存活
DRGN04	出生<=27天，出生體重<1000公克，且出院時死亡
DRGN05	出生<=27天，出生體重介於1000-1499公克，主或次診斷有MAJOR PROBLEM或有使用呼吸器
DRGN06	出生<=27天，出生體重介於1000-1499公克
DRGN07	出生<=27天，出生體重介於1500-1999公克，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器
DRGN08	出生<=27天，出生體重介於1500-1999公克，主或次診斷有MAJOR PROBLEM
DRGN09	出生<=27天，出生體重介於1500-1999公克，主或次診斷有MINOR PROBLEM
DRGN10	出生<=27天，出生體重介於1500-1999公克
DRGN11	出生<=27天，出生體重介於2000-2499公克，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器
DRGN12	出生<=27天，出生體重介於2000-2499公克，主或次診斷有MAJOR PROBLEM
DRGN13	出生<=27天，出生體重介於2000-2499公克，主或次診斷有MINOR PROBLEM
DRGN14	出生<=27天，出生體重>2499公克，有手術，主或次診斷有多重MAJOR PROBLEM
DRGN15	出生<=27天，出生體重>2499公克，有手術
DRGN16	出生<=27天，出生體重>2499公克，無手術，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器
DRGN17	出生<=27天，出生體重>2499公克，無手術，主或次診斷有MAJOR PROBLEM
DRGN18	出生<=27天，出生體重>2499公克，無手術，主或次診斷有MINOR PROBLEM
DRGN19	出生<=27天，出生體重>2499公克，無手術
