DRG41501	傳染疾病寄生蟲病之手術，有合併症或併發症
DRG41502	傳染疾病寄生蟲病之手術，無合併症或併發症
DRG41601	敗血症，年齡大於等於18歲，有合併症或併發症
DRG41602	敗血症，年齡大於等於18歲，無合併症或併發症
DRG41701	敗血症，年齡0-17歲，有合併症或併發症
DRG41702	敗血症，年齡0-17歲，無合併症或併發症
DRG41802	手術後及創傷後感染(1)，無合併症或併發症
DRG41804	手術後及創傷後感染，無合併症或併發症
DRG419	不明熱，年齡大於等於18歲，有合併症或併發症
DRG420	不明熱，年齡大於等於18歲，無合併症或併發症
DRG42101	病毒性病症，年齡大於等於18歲，有合併症或併發症
DRG42102	病毒性病症，年齡大於等於18歲，無合併症或併發症
DRG42201	病毒性病症及不明熱，年齡0~17歲，有合併症或併發症
DRG42202	病毒性病症及不明熱，年齡0~17歲，無合併症或併發症
DRG42301	其他傳染疾病寄生蟲病之診斷(1)，有合併症或併發症
DRG42302	其他傳染疾病寄生蟲病之診斷(1)，無合併症或併發症
DRG42303	其他傳染疾病寄生蟲病之診斷(2)，有合併症或併發症
DRG42304	其他傳染疾病寄生蟲病之診斷(2)，無合併症或併發症
