DRG43901	損傷之皮膚移植，有合併症或併發症
DRG43902	損傷之皮膚移植，無合併症或併發症
DRG44001	損傷之擴創術，有合併症或併發症
DRG44002	損傷之擴創術，無合併症或併發症
DRG44101	手損傷手術，有合併症或併發症
DRG44102	手損傷手術，無合併症或併發症
DRG442	其他損傷手術，有合併症或併發症
DRG443	其他損傷手術，無合併症或併發症
DRG444	創傷，年齡大於等於18歲，有合併症或併發症
DRG445	創傷，年齡大於等於18歲，無合併症或併發症
DRG44601	多發性創傷，年齡0-17歲，有合併症或併發症
DRG44602	多發性創傷，年齡0-17歲，無合併症或併發症
DRG44701	過敏性反應，年齡大於等於18歲，有合併症或併發症
DRG44702	過敏性反應，年齡大於等於18歲，無合併症或併發症
DRG44801	過敏性反應，年齡0-17歲，有合併症或併發症
DRG44802	過敏性反應，年齡0-17歲，無合併症或併發症
DRG44901	藥品毒性作用(1)，年齡大於等於18歲，有合併症或併發症
DRG45001	藥品毒性作用(1)，年齡大於等於18歲，無合併症或併發症
DRG45101	藥品毒性作用(1)，年齡0-17歲，有合併症與併發症
DRG45102	藥品毒性作用(1)，年齡0-17歲，無合併症與併發症
DRG44902	藥品毒性作用(2)，年齡大於等於18歲，有合併症或併發症
DRG45002	藥品毒性作用(2)，年齡大於等於18歲，無合併症或併發症
DRG45103	藥品毒性作用(2)，年齡0-17歲，有合併症與併發症
DRG45104	藥品毒性作用(2)，年齡0-17歲，無合併症與併發症
DRG452	治療性併發症，有合併症或併發症
DRG453	治療性併發症，無合併症或併發症
DRG454	其他損傷、中毒及毒性作用診斷，有合併症或併發症
DRG455	其他損傷、中毒及毒性作用診斷，無合併症或併發症
DRG41802	創傷後感染，無合併症或併發症
