DRG50401	三度廣泛性燒傷伴有皮膚移植(1)，有合併症或併發症
DRG50402	三度廣泛性燒傷伴有皮膚移植(1)，無合併症或併發症
DRG50403	三度廣泛性燒傷伴有皮膚移植(2)，有合併症或併發症
DRG50404	三度廣泛性燒傷伴有皮膚移植(2)，無合併症或併發症
DRG50405	三度廣泛性燒傷伴有皮膚移植(3)
DRG50501	三度廣泛性燒傷無皮膚移植(1)，有合併症或併發症
DRG50502	三度廣泛性燒傷無皮膚移植(1)，無合併症或併發症
DRG50503	三度廣泛性燒傷無皮膚移植(2)，有合併症或併發症
DRG50504	三度廣泛性燒傷無皮膚移植(2)，無合併症或併發症
DRG50505	三度廣泛性燒傷無皮膚移植(3)
DRG50601	全層皮膚燒傷伴有皮膚移植或吸入性傷害(1)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50602	全層皮膚燒傷伴有皮膚移植或吸入性傷害(1)，有合併症或併發症，年齡5-64歲
DRG50603	全層皮膚燒傷伴有皮膚移植或吸入性傷害(2)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50604	全層皮膚燒傷伴有皮膚移植或吸入性傷害(2)，有合併症或併發症，年齡5-64歲
DRG50605	全層皮膚燒傷伴有皮膚移植或吸入性傷害(3)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50606	全層皮膚燒傷伴有皮膚移植或吸入性傷害(3)，有合併症或併發症，年齡5-64歲
DRG50701	全層皮膚燒傷伴有皮膚移植或吸入性傷害(1)，無合併症或併發症
DRG50702	全層皮膚燒傷伴有皮膚移植或吸入性傷害(2)，無合併症或併發症，年齡小於5歲或大於等於65歲
DRG50703	全層皮膚燒傷伴有皮膚移植或吸入性傷害(2)，無合併症或併發症，年齡5-64歲
DRG50704	全層皮膚燒傷伴有皮膚移植或吸入性傷害(3)，無合併症或併發症，年齡小於5歲或大於等於65歲
DRG50705	全層皮膚燒傷伴有皮膚移植或吸入性傷害(3)，無合併症或併發症，年齡5-64歲
DRG50801	全層皮膚燒傷無皮膚移植或吸入性傷害(1)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50802	全層皮膚燒傷無皮膚移植或吸入性傷害(1)，有合併症或併發症，年齡5-64歲
DRG50803	全層皮膚燒傷無皮膚移植或吸入性傷害(2)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50804	全層皮膚燒傷無皮膚移植或吸入性傷害(2)，有合併症或併發症，年齡5-64歲
DRG50901	全層皮膚燒傷無皮膚移植或吸入性傷害(1)，無合併症或併發症，年齡小於5歲或大於等於65歲
DRG50902	全層皮膚燒傷無皮膚移植或吸入性傷害(1)，無合併症或併發症，年齡5-64歲
DRG50903	全層皮膚燒傷無皮膚移植或吸入性傷害(2)，無合併症或併發症，年齡小於5歲或大於等於65歲
DRG50904	全層皮膚燒傷無皮膚移植或吸入性傷害(2)，無合併症或併發症，年齡5-64歲
DRG510	非廣泛性燒傷，有合併症或併發症
DRG511	非廣泛性燒傷，無合併症或併發症
