DRG00101	顱骨切開術，創傷除外，年齡大於等於18歲，有合併症或併發症
DRG00102	顱骨切開術，創傷除外，年齡大於等於18歲，無合併症或併發症
DRG00201	顱骨切開術，含有創傷，年齡大於等於18歲，有合併症或併發症
DRG00202	顱骨切開術，含有創傷，年齡大於等於18歲，無合併症或併發症
DRG00301	顱骨切開術，年齡0~17歲，有合併症或併發症
DRG00302	顱骨切開術，年齡0~17歲，無合併症或併發症
DRG00401	脊椎手術，有合併症或併發症
DRG00402	脊椎手術，無合併症或併發症
DRG00501	顱外血管手術，有合併症或併發症
DRG00502	顱外血管手術，無合併症或併發症
DRG00601	腕隧道鬆解術，有合併症或併發症
DRG00602	腕隧道鬆解術， 無合併症或併發症
DRG00701	末梢神經、腦神經及其他神經系統手術(1)，有合併症或併發症
DRG00702	末梢神經、腦神經及其他神經系統手術(2)，有合併症或併發症
DRG00703	末梢神經、腦神經及其他神經系統手術(3)，有合併症或併發症
DRG00704	末梢神經、腦神經及其他神經系統手術(4)，有合併症或併發症
DRG008	末梢神經、腦神經及其他神經系統手術，無合併症或併發症
DRG00901	脊椎疾患及損傷(1)，有合併症或併發症
DRG00902	脊椎疾患及損傷(1)，無合併症或併發症
DRG00903	脊椎疾患及損傷(2)，有合併症或併發症
DRG00904	脊椎疾患及損傷(2)，無合併症或併發症
DRG00905	脊椎疾患及損傷(3)
DRG01001	神經系統良性腫瘤(1)，有合併症或併發症
DRG01101	神經系統良性腫瘤(1)，無合併症或併發症
DRG01002	神經系統良性腫瘤(2)，有合併症或併發症
DRG01102	神經系統良性腫瘤(2)，無合併症或併發症
DRG01201	變質性神經系統疾患(1)
DRG01202	變質性神經系統疾患(2)，有合併症或併發症
DRG01203	變質性神經系統疾患(2)，無合併症或併發症
DRG01301	多發性硬化症及小腦運動失調(1)，有合併症或併發症
DRG01302	多發性硬化症及小腦運動失調(1)，無合併症或併發症
DRG01303	多發性硬化症及小腦運動失調(2)，有合併症或併發症
DRG01304	多發性硬化症及小腦運動失調(2)，無合併症或併發症
DRG01401	特定性腦血管疾患，暫時性腦部缺氧除外(1)，有合併症或併發症
DRG01402	特定性腦血管疾患，暫時性腦部缺氧除外(1)，無合併症或併發症
DRG01403	特定性腦血管疾患，暫時性腦部缺氧除外(2)，有合併症或併發症
DRG01404	特定性腦血管疾患，暫時性腦部缺氧除外(2)，無合併症或併發症
DRG01405	特定性腦血管疾患，暫時性腦部缺氧除外(3)，有合併症或併發症
DRG01406	特定性腦血管疾患，暫時性腦部缺氧除外(3)，無合併症或併發症
DRG01501	暫時性腦部缺氧之發作及腦前動脈阻塞(1)，有合併症或併發症
DRG01502	暫時性腦部缺氧之發作及腦前動脈阻塞(1)，無合併症或併發症
DRG01503	暫時性腦部缺氧之發作及腦前動脈阻塞(2)，有合併症或併發症
DRG01504	暫時性腦部缺氧之發作及腦前動脈阻塞(2)，無合併症或併發症
DRG01505	暫時性腦部缺氧之發作及腦前動脈阻塞(3)，有合併症或併發症
DRG01506	暫時性腦部缺氧之發作及腦前動脈阻塞(3)，無合併症或併發症
DRG01601	未明示之腦血管疾患(1)，有合併症或併發症
DRG01701	未明示之腦血管疾患(1)，無合併症或併發症
DRG01602	未明示之腦血管疾患(2)，有合併症或併發症
DRG01702	未明示之腦血管疾患(2)，無合併症或併發症
DRG018	腦及末梢神經疾患，有合併症或併發症
DRG019	腦及末梢神經疾患，無合併症或併發症
DRG02001	神經系統感染，病毒性腦膜炎除外(1)，有合併症或併發症
DRG02002	神經系統感染，病毒性腦膜炎除外(1)，無合併症或併發症
DRG02003	神經系統感染，病毒性腦膜炎除外(2)，有合併症或併發症
DRG02004	神經系統感染，病毒性腦膜炎除外(2)，無合併症或併發症
DRG02101	病毒性腦膜炎(1)，有合併症或併發症
DRG02102	病毒性腦膜炎(1)，無合併症或併發症
DRG02103	病毒性腦膜炎(2)，有合併症或併發症
DRG02104	病毒性腦膜炎(2)，無合併症或併發症
DRG02201	高血壓性腦病變，有合併症或併發症
DRG02202	高血壓性腦病變，無合併症或併發症
DRG02301	非創傷性木殭及昏迷，有合併症或併發症
DRG02302	非創傷性木殭及昏迷，無合併症或併發症
DRG024	顛癇發作及頭痛，年齡大於等於18歲，有合併症或併發症
DRG025	顛癇發作及頭痛，年齡大於等於18歲，無合併症或併發症
DRG02601	顛癇發作及頭痛，年齡0-17歲，有合併症或併發症
DRG02602	顛癇發作及頭痛，年齡0-17歲，無合併症或併發症
DRG02701	創傷性木殭及昏迷，昏迷超過1小時，有合併症或併發症
DRG02702	創傷性木殭及昏迷，昏迷超過1小時，無合併症或併發症
DRG02901	創傷性木殭及昏迷，昏迷少於1小時，年齡大於等於18歲， 無合併症或併發症
DRG03001	創傷性木殭及昏迷，昏迷少於1小時，年齡 0-17歲， 有合併症或併發症
DRG03002	創傷性木殭及昏迷，昏迷少於1小時，年齡 0-17歲， 無合併症或併發症
DRG02902	創傷性木殭，無昏迷，年齡大於等於18歲，無合併症或併發症
DRG03003	創傷性木殭，無昏迷，年齡 0-17歲， 有合併症或併發症
DRG03004	創傷性木殭，無昏迷，年齡 0-17歲，無合併症或併發症
DRG02903	創傷性木殭，有腦震盪，年齡大於等於18歲，無合併症或併發症
DRG03005	創傷性木殭，有腦震盪，年齡 0-17歲， 有合併症或併發症
DRG03006	創傷性木殭，有腦震盪，年齡 0-17歲，無合併症或併發症
DRG031	腦震盪，年齡大於等於18歲，有合併症或併發症
DRG032	腦震盪，年齡大於等於18歲，無合併症或併發症
DRG03301	腦震盪，年齡0~17歲，有合併症或併發症
DRG03302	腦震盪，年齡0~17歲，無合併症或併發症
DRG034	其他神經系統疾患，有合併症或併發症
DRG035	其他神經系統疾患，無合併症或併發症
