DRG03601	視網膜手術合併玻璃體手術
DRG03602	視網膜手術無合併玻璃體手術
DRG03701	眼窩手術(1)，年齡0-17歲或有複雜次診斷 
DRG03702	眼窩手術(1)，年齡大於等於18歲
DRG03703	眼窩手術(2)，年齡0-17歲或有複雜次診斷 
DRG03704	眼窩手術(2)，年齡大於等於18歲
DRG03705	眼窩手術(3)
DRG03706	眼窩手術(4)，年齡0-17歲或有複雜次診斷 
DRG03707	眼窩手術(4)，年齡大於等於18歲
DRG03801	原發性虹膜手術(1)
DRG03802	原發性虹膜手術(2)
DRG03901	雙側水晶體手術，含玻璃體切除術
DRG03903	單側水晶體手術，含玻璃體切除術
DRG03904	雙側水晶體手術，不含玻璃體切除術
DRG03905	單側水晶體手術，不含玻璃體切除術
DRG03902	眼異物移除手術，含玻璃體切除術
DRG03906	眼異物移除手術，不含玻璃體切除術
DRG04001	外眼手術，眼窩除外(1)，年齡大於等於18歲
DRG04101	外眼手術，眼窩除外(1)，年齡0-17歲
DRG04002	外眼手術，眼窩除外(2)，年齡大於等於18歲
DRG04102	外眼手術，眼窩除外(2)，年齡0-17歲
DRG04003	外眼手術，眼窩除外(3)，年齡大於等於18歲
DRG04103	外眼手術，眼窩除外(3)，年齡0-17歲
DRG04004	外眼手術，眼窩除外(4)，年齡大於等於18歲
DRG04104	外眼手術，眼窩除外(4)，年齡0-17歲
DRG04201	眼內手術，視網膜、虹膜及水晶體除外(1)
DRG04202	眼內手術，視網膜、虹膜及水晶體除外(2)
DRG04301	前房出血，有合併症或併發症
DRG04302	前房出血，無合併症或併發症
DRG04401	急性重大之眼睛感染，有合併症或併發症
DRG04402	急性重大之眼睛感染，無合併症或併發症
DRG04501	眼神經疾患，有合併症或併發症
DRG04502	眼神經疾患，無合併症或併發症
DRG046	其他眼睛疾患，年齡大於等於18歲，有合併症或併發症
DRG047	其他眼睛疾患，年齡大於等於18歲，無合併症或併發症
DRG048	其他眼睛疾患，年齡0-17歲
