DRG07501	胸部重大手術(1)，有合併症或併發症
DRG07502	胸部重大手術(1)，無合併症或併發症
DRG07503	胸部重大手術(2)，有合併症或併發症
DRG07504	胸部重大手術(2)，無合併症或併發症
DRG07601	其他呼吸系統手術(1)，有合併症或併發症
DRG07701	其他呼吸系統手術(1)，無合併症或併發症
DRG07602	其他呼吸系統手術(2)，有合併症或併發症
DRG07702	其他呼吸系統手術(2)，無合併症或併發症
DRG07603	其他呼吸系統手術(3)，有合併症或併發症
DRG07703	其他呼吸系統手術(3)，無合併症或併發症
DRG07801	肺栓塞，有合併症或併發症
DRG07802	肺栓塞，無合併症或併發症
DRG07901	呼吸道感染及發炎(1)，年齡大於等於18歲，有合併症或併發症
DRG08001	呼吸道感染及發炎(1)，年齡大於等於18歲，無合併症或併發症
DRG08101	呼吸道感染及發炎(1)，年齡0~17歲，有合併症或併發症
DRG08102	呼吸道感染及發炎(1)，年齡0~17歲，無合併症或併發症
DRG07902	呼吸道感染及發炎(2)，年齡大於等於18歲，有合併症或併發症
DRG08002	呼吸道感染及發炎(2)，年齡大於等於18歲，無合併症或併發症
DRG08103	呼吸道感染及發炎(2)，年齡0~17歲，有合併症或併發症
DRG08104	呼吸道感染及發炎(2)，年齡0~17歲，無合併症或併發症
DRG07903	呼吸道感染及發炎(3)，年齡大於等於18歲，有合併症或併發症
DRG08003	呼吸道感染及發炎(3)，年齡大於等於18歲，無合併症或併發症
DRG08105	呼吸道感染及發炎(3)，年齡0~17歲，有合併症或併發症
DRG08106	呼吸道感染及發炎(3)，年齡0~17歲，無合併症或併發症
DRG07904	呼吸道感染及發炎(4)，年齡大於等於18歲，有合併症或併發症
DRG08004	呼吸道感染及發炎(4)，年齡大於等於18歲，無合併症或併發症
DRG08107	呼吸道感染及發炎(4)，年齡0~17歲，有合併症或併發症
DRG08108	呼吸道感染及發炎(4)，年齡0~17歲，無合併症或併發症
DRG07905	呼吸道感染及發炎(5)，年齡大於等於18歲，有合併症或併發症
DRG08005	呼吸道感染及發炎(5)，年齡大於等於18歲，無合併症或併發症
DRG08109	呼吸道感染及發炎(5)，年齡0~17歲
DRG082	呼吸道腫瘤
DRG08301	重大胸部創傷(1)，有合併症或併發症
DRG08401	重大胸部創傷(1)，無合併症或併發症
DRG08302	重大胸部創傷(2)，有合併症或併發症
DRG08402	重大胸部創傷(2)，無合併症或併發症
DRG08303	重大胸部創傷(3)，有合併症或併發症
DRG08403	重大胸部創傷(3)，無合併症或併發症
DRG085	胸（肋）膜積水，有合併症或併發症
DRG086	胸（肋）膜積水，無合併症或併發症
DRG08701	肺水腫及呼吸衰竭(1)，有合併症或併發症
DRG08702	肺水腫及呼吸衰竭(1)，無合併症或併發症
DRG08703	肺水腫及呼吸衰竭(2)，有合併症或併發症
DRG08704	肺水腫及呼吸衰竭(2)，無合併症或併發症
DRG08801	慢性阻塞性肺疾病，有合併症或併發症
DRG08802	慢性阻塞性肺疾病，無合併症或併發症
DRG089	單純性肺炎及胸（肋）膜炎，年齡大於等於18歲，有合併症或併發症
DRG090	單純性肺炎及胸（肋）膜炎，年齡大於等於18歲，無合併症或併發症
DRG09101	單純性肺炎及胸（肋）膜炎，年齡0~17歲，有合併症或併發症
DRG09102	單純性肺炎及胸（肋）膜炎，年齡0~17歲，無合併症或併發症
DRG092	間質性肺部疾病，有合併症或併發症
DRG093	間質性肺部疾病，無合併症或併發症
DRG094	氣胸，合併症或併發症
DRG095	氣胸，無合併症或併發症
DRG09601	支氣管炎及氣喘(1)，年齡大於等於18歲，有合併症或併發症
DRG09701	支氣管炎及氣喘(1)，年齡大於等於18歲，無合併症或併發症
DRG09801	支氣管炎及氣喘(1)，年齡0~17歲，有合併症或併發症
DRG09802	支氣管炎及氣喘(1)，年齡0~17歲，無合併症或併發症
DRG09602	支氣管炎及氣喘(2)，年齡大於等於18歲，有合併症或併發症
DRG09702	支氣管炎及氣喘(2)，年齡大於等於18歲，無合併症或併發症
DRG09803	支氣管炎及氣喘(2)，年齡0~17歲，有合併症或併發症
DRG09804	支氣管炎及氣喘(2)，年齡0~17歲，無合併症或併發症
DRG09901	呼吸系統症狀及徵候(1)，有合併症或併發症
DRG10001	呼吸系統症狀及徵候(1)，無合併症或併發症
DRG09902	呼吸系統症狀及徵候(2)，有合併症或併發症
DRG10002	呼吸系統症狀及徵候(2)，無合併症或併發症
DRG09903	呼吸系統症狀及徵候(3)，有合併症或併發症
DRG10003	呼吸系統症狀及徵候(3)，無合併症或併發症
DRG10101	其他呼吸系統診斷(1)，有合併症或併發症
DRG10201	其他呼吸系統診斷(1)，無合併症或併發症
DRG10102	其他呼吸系統診斷(2)，有合併症或併發症
DRG10202	其他呼吸系統診斷(2)，無合併症或併發症
DRG10103	其他呼吸系統診斷(3)，有合併症或併發症
DRG10203	其他呼吸系統診斷(3)，無合併症或併發症
DRG10104	其他呼吸系統診斷(4)，有合併症或併發症
DRG10204	其他呼吸系統診斷(4)，無合併症或併發症
DRG10105	其他呼吸系統診斷(5)，有合併症或併發症
DRG10205	其他呼吸系統診斷(5)，無合併症或併發症
DRG10106	其他呼吸系統診斷(6)，有合併症或併發症
DRG10206	其他呼吸系統診斷(6)，無合併症或併發症
DRG47501	使用人工呼吸器之呼吸系統診斷，有合併症或併發症
DRG47502	使用人工呼吸器之呼吸系統診斷，無合併症或併發症
