DRG10401	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(1)
DRG10402	心瓣膜手術(3瓣)及其他重大心臟胸腔手術，伴有心導管(2)，有合併症或併發症
DRG10403	心瓣膜手術(3瓣）及其他重大心臟胸腔手術，伴有心導管(2)，無合併症或併發症
DRG10409	心瓣膜手術(2瓣）及其他重大心臟胸腔手術，伴有心導管(2)，有合併症或併發症
DRG10410	心瓣膜手術(2瓣）及其他重大心臟胸腔手術，伴有心導管(2)，無合併症或併發症
DRG10404	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(3)
DRG10405	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(4)
DRG10406	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(5)
DRG10407	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(6)，有合併症或併發症
DRG10408	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(6)，無合併症或併發症
DRG10501	心瓣膜手術及其他重大心臟胸腔手術，無心導管(1)
DRG10502	心瓣膜手術(3瓣）及其他重大心臟胸腔手術，無心導管(2)，有合併症或併發症
DRG10503	心瓣膜手術(3瓣）及其他重大心臟胸腔手術，無心導管(2)，無合併症或併發症
DRG10509	心瓣膜手術(2瓣）及其他重大心臟胸腔手術，無心導管(2)，有合併症或併發症
DRG10510	心瓣膜手術(2瓣）及其他重大心臟胸腔手術，無心導管(2)，無合併症或併發症
DRG10504	心瓣膜手術及其他重大心臟胸腔手術，無心導管(3)
DRG10505	心瓣膜手術及其他重大心臟胸腔手術，無心導管(4)
DRG10506	心瓣膜手術及其他重大心臟胸腔手術，無心導管(5)
DRG10507	心瓣膜手術及其他重大心臟胸腔手術，無心導管(6)，有合併症或併發症
DRG10508	心瓣膜手術及其他重大心臟胸腔手術，無心導管(6)，無合併症或併發症
DRG10601	冠狀動脈繞道手術伴有經皮冠狀動脈多處血管成形術或瓣膜成形術，有合併症或併發症
DRG10602	冠狀動脈繞道手術伴有經皮冠狀動脈多處血管成形術或瓣膜成形術，無合併症或併發症
DRG10603	冠狀動脈繞道手術伴有經皮冠狀動脈單處血管成形術，有合併症或併發症
DRG10604	冠狀動脈繞道手術伴有經皮冠狀動脈單處血管成形術，無合併症或併發症
DRG10701	多處血管冠狀動脈繞道手術，伴有心導管
DRG10702	單處血管冠狀動脈繞道手術，伴有心導管
DRG10801	其他心臟胸腔手術，有合併症或併發症
DRG10802	其他心臟胸腔手術，無合併症或併發症
DRG10901	多處血管冠狀動脈繞道手術，無心導管
DRG10902	單處血管冠狀動脈繞道手術，無心導管
DRG11001	胸(胸腹)主動脈瘤之重大心血管手術，有合併症或併發症
DRG11101	胸(胸腹)主動脈瘤之重大心血管手術，無合併症或併發症
DRG11005	重大心血管手術(1)，有合併症或併發症
DRG11105	重大心血管手術(1)，無合併症或併發症
DRG11002	開放性動脈廔管(≧25MM)，重大心血管手術(2)，有合併症或併發症
DRG11102	開放性動脈廔管(≧25MM)，重大心血管手術(2)，無合併症或併發症
DRG11006	開放性動脈廔管(＜25MM)，重大心血管手術(2)，有合併症或併發症
DRG11106	開放性動脈廔管(＜25MM)，重大心血管手術(2)，無合併症或併發症
DRG11003	重大心血管手術(3)，有合併症或併發症
DRG11103	重大心血管手術(3)，無合併症或併發症
DRG11004	重大心血管手術(4)，有合併症或併發症
DRG11104	重大心血管手術(4)，無合併症或併發症
DRG11201	多處血管及其他經皮心臟血管手術
DRG11202	單處血管經皮心臟血管手術
DRG11203	經導管心臟病灶或組織剝除術
DRG11204	其他經皮心臟血管手術
DRG11301	循環系統疾患截斷術，上肢及趾除外，有合併症或併發症
DRG11302	循環系統疾患截斷術，上肢及趾除外，無合併症或併發症
DRG11401	上肢及趾循環系統截斷術，有合併症或併發症
DRG11402	上肢及趾循環系統截斷術，無合併症或併發症
DRG11501	永久性心律調節器裝置術，伴有急性心肌梗塞、心臟衰竭或休克或自動心臟，去顫器電極（池）處置，有合併症或併發症
DRG11502	永久性心律調節器裝置術，伴有急性心肌梗塞、心臟衰竭或休克或自動心臟，去顫器電極（池）處置，無合併症或併發症
DRG11601	經皮冠狀動脈單處血管成形術，伴有冠狀動脈血管支架
DRG11602	經皮冠狀動脈多處血管成形術，伴有冠狀動脈血管支架
DRG11603	其他永久性心律調節器裝置術(雙腔)
DRG11604	其他永久性心律調節器裝置術(單腔)
DRG11605	其他永久性心律調節器裝置術(三導線)或同時執行永久性心律調節器裝置術及經皮冠狀動脈成形術，伴有冠狀動脈血管支架
DRG11701	心律調節器矯正術，裝置置換除外，有合併症或併發症
DRG11702	心律調節器矯正術，裝置置換除外，無合併症或併發症
DRG11801	心律調節器置換術（雙腔），有合併症或併發症
DRG11802	心律調節器置換術（雙腔），無合併症或併發症
DRG11803	心律調節器置換術（單腔），有合併症或併發症
DRG11804	心律調節器置換術（單腔），無合併症或併發症
DRG11901	靜脈結紮及摘除術，有合併症或併發症
DRG11902	靜脈結紮及摘除術，無合併症或併發症
DRG12001	其他循環系統手術，有合併症或併發症
DRG12002	其他循環系統手術，無合併症或併發症
DRG12101	伴有心肌梗塞之循環性疾病，伴有心臟血管併發症，出院時存活者，伴有心導管
DRG12102	伴有心肌梗塞之循環性疾病，伴有心臟血管併發症，出院時存活者，無心導管
DRG12201	伴有心肌梗塞之循環性疾病，無心臟血管併發症，出院時存活者，伴有心導管
DRG12301	伴有心肌梗塞之循環性疾病，死亡者，伴有心導管
