DRG,CM-PCS,en
DRG30002,A187,Tuberculosis of adrenal glands
DRG30002,A1881,Tuberculosis of thyroid gland
DRG30002,B6731,"Echinococcus granulosus infection, thyroid gland"
DRG30002,E000,"Congenital iodine-deficiency syndrome, neurological type"
DRG30002,E001,"Congenital iodine-deficiency syndrome, myxedematous type"
DRG30002,E002,"Congenital iodine-deficiency syndrome, mixed type"
DRG30002,E009,"Congenital iodine-deficiency syndrome, unspecified"
DRG30002,E010,Iodine-deficiency related diffuse (endemic) goiter
DRG30002,E011,Iodine-deficiency related multinodular (endemic) goiter
DRG30002,E012,"Iodine-deficiency related (endemic) goiter, unspecified"
DRG30002,E018,Other iodine-deficiency related thyroid disorders and allied conditions
DRG30002,E02,Subclinical iodine-deficiency hypothyroidism
DRG30002,E030,Congenital hypothyroidism with diffuse goiter
DRG30002,E031,Congenital hypothyroidism without goiter
DRG30002,E032,Hypothyroidism due to medicaments and other exogenous substances
DRG30002,E033,Postinfectious hypothyroidism
DRG30002,E034,Atrophy of thyroid (acquired)
DRG30002,E038,Other specified hypothyroidism
DRG30002,E039,"Hypothyroidism, unspecified"
DRG30002,E040,Nontoxic diffuse goiter
DRG30002,E041,Nontoxic single thyroid nodule
DRG30002,E042,Nontoxic multinodular goiter
DRG30002,E048,Other specified nontoxic goiter
DRG30002,E049,"Nontoxic goiter, unspecified"
DRG30002,E0500,Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
DRG30002,E0501,Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
DRG30002,E0510,Thyrotoxicosis with toxic single thyroid nodule without thyrotoxic crisis or storm
DRG30002,E0511,Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm
DRG30002,E0520,Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm
DRG30002,E0521,Thyrotoxicosis with toxic multinodular goiter with thyrotoxic crisis or storm
DRG30002,E0530,Thyrotoxicosis from ectopic thyroid tissue without thyrotoxic crisis or storm
DRG30002,E0531,Thyrotoxicosis from ectopic thyroid tissue with thyrotoxic crisis or storm
DRG30002,E0540,Thyrotoxicosis factitia without thyrotoxic crisis or storm
DRG30002,E0541,Thyrotoxicosis factitia with thyrotoxic crisis or storm
DRG30002,E0580,Other thyrotoxicosis without thyrotoxic crisis or storm
DRG30002,E0581,Other thyrotoxicosis with thyrotoxic crisis or storm
DRG30002,E0590,"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
DRG30002,E0591,"Thyrotoxicosis, unspecified with thyrotoxic crisis or storm"
DRG30002,E060,Acute thyroiditis
DRG30002,E061,Subacute thyroiditis
DRG30002,E062,Chronic thyroiditis with transient thyrotoxicosis
DRG30002,E063,Autoimmune thyroiditis
DRG30002,E064,Drug-induced thyroiditis
DRG30002,E065,Other chronic thyroiditis
DRG30002,E069,"Thyroiditis, unspecified"
DRG30002,E070,Hypersecretion of calcitonin
DRG30002,E071,Dyshormogenetic goiter
DRG30002,E0789,Other specified disorders of thyroid
DRG30002,E079,"Disorder of thyroid, unspecified"
DRG30002,E160,Drug-induced hypoglycemia without coma
DRG30002,E161,Other hypoglycemia
DRG30002,E163,Increased secretion of glucagon
DRG30002,E168,Other specified disorders of pancreatic internal secretion
DRG30002,E169,"Disorder of pancreatic internal secretion, unspecified"
DRG30002,E200,Idiopathic hypoparathyroidism
DRG30002,E208,Other hypoparathyroidism
DRG30002,E209,"Hypoparathyroidism, unspecified"
DRG30002,E210,Primary hyperparathyroidism
DRG30002,E211,"Secondary hyperparathyroidism, not elsewhere classified"
DRG30002,E212,Other hyperparathyroidism
DRG30002,E213,"Hyperparathyroidism, unspecified"
DRG30002,E214,Other specified disorders of parathyroid gland
DRG30002,E215,"Disorder of parathyroid gland, unspecified"
DRG30002,E220,Acromegaly and pituitary gigantism
DRG30002,E221,Hyperprolactinemia
DRG30002,E222,Syndrome of inappropriate secretion of antidiuretic hormone
DRG30002,E228,Other hyperfunction of pituitary gland
DRG30002,E229,"Hyperfunction of pituitary gland, unspecified"
DRG30002,E230,Hypopituitarism
DRG30002,E231,Drug-induced hypopituitarism
DRG30002,E232,Diabetes insipidus
DRG30002,E233,"Hypothalamic dysfunction, not elsewhere classified"
DRG30002,E236,Other disorders of pituitary gland
DRG30002,E237,"Disorder of pituitary gland, unspecified"
DRG30002,E240,Pituitary-dependent Cushing's disease
DRG30002,E241,Nelson's syndrome
DRG30002,E242,Drug-induced Cushing's syndrome
DRG30002,E243,Ectopic ACTH syndrome
DRG30002,E244,Alcohol-induced pseudo-Cushing's syndrome
DRG30002,E248,Other Cushing's syndrome
DRG30002,E249,"Cushing's syndrome, unspecified"
DRG30002,E250,Congenital adrenogenital disorders associated with enzyme deficiency
DRG30002,E258,Other adrenogenital disorders
DRG30002,E259,"Adrenogenital disorder, unspecified"
DRG30002,E2601,Conn's syndrome
DRG30002,E2602,Glucocorticoid-remediable aldosteronism
DRG30002,E2609,Other primary hyperaldosteronism
DRG30002,E261,Secondary hyperaldosteronism
DRG30002,E2681,Bartter's syndrome
DRG30002,E2689,Other hyperaldosteronism
DRG30002,E269,"Hyperaldosteronism, unspecified"
DRG30002,E270,Other adrenocortical overactivity
DRG30002,E271,Primary adrenocortical insufficiency
DRG30002,E272,Addisonian crisis
DRG30002,E273,Drug-induced adrenocortical insufficiency
DRG30002,E2740,Unspecified adrenocortical insufficiency
DRG30002,E2749,Other adrenocortical insufficiency
DRG30002,E275,Adrenomedullary hyperfunction
DRG30002,E278,Other specified disorders of adrenal gland
DRG30002,E279,"Disorder of adrenal gland, unspecified"
DRG30002,E290,Testicular hyperfunction
DRG30002,E291,Testicular hypofunction
DRG30002,E298,Other testicular dysfunction
DRG30002,E299,"Testicular dysfunction, unspecified"
DRG30002,E300,Delayed puberty
DRG30002,E301,Precocious puberty
DRG30002,E308,Other disorders of puberty
DRG30002,E309,"Disorder of puberty, unspecified"
DRG30002,E310,Autoimmune polyglandular failure
DRG30002,E311,Polyglandular hyperfunction
DRG30002,E3120,"Multiple endocrine neoplasia [MEN] syndrome, unspecified"
DRG30002,E3121,Multiple endocrine neoplasia [MEN] type I
DRG30002,E3122,Multiple endocrine neoplasia [MEN] type IIA
DRG30002,E3123,Multiple endocrine neoplasia [MEN] type IIB
DRG30002,E318,Other polyglandular dysfunction
