,DRG,CM-PCS,en
11054,DRG32402,N131,"Hydronephrosis with ureteral stricture, not elsewhere classified"
11055,DRG32402,N132,Hydronephrosis with renal and ureteral calculous obstruction
11056,DRG32402,N1330,Unspecified hydronephrosis
11057,DRG32402,N1339,Other hydronephrosis
11058,DRG32402,N134,Hydroureter
11059,DRG32402,N138,Other obstructive and reflux uropathy
11060,DRG32402,N200,Calculus of kidney
11061,DRG32402,N201,Calculus of ureter
11062,DRG32402,N202,Calculus of kidney with calculus of ureter
11063,DRG32402,N209,"Urinary calculus, unspecified"
11064,DRG32402,N210,Calculus in bladder
11065,DRG32402,N211,Calculus in urethra
11066,DRG32402,N218,Other lower urinary tract calculus
11067,DRG32402,N219,"Calculus of lower urinary tract, unspecified"
11068,DRG32402,N23,Unspecified renal colic
