,DRG,CM-PCS,en
1336,DRG50504,T3141,Burns involving 40-49% of body surface with 10-19% third degree burns
1337,DRG50504,T3142,Burns involving 40-49% of body surface with 20-29% third degree burns
1338,DRG50504,T3143,Burns involving 40-49% of body surface with 30-39% third degree burns
1339,DRG50504,T3144,Burns involving 40-49% of body surface with 40-49% third degree burns
1340,DRG50504,T3151,Burns involving 50-59% of body surface with 10-19% third degree burns
1341,DRG50504,T3152,Burns involving 50-59% of body surface with 20-29% third degree burns
1342,DRG50504,T3153,Burns involving 50-59% of body surface with 30-39% third degree burns
1343,DRG50504,T3154,Burns involving 50-59% of body surface with 40-49% third degree burns
1344,DRG50504,T3155,Burns involving 50-59% of body surface with 50-59% third degree burns
1345,DRG50504,T3241,Corrosions involving 40-49% of body surface with 10-19% third degree corrosion
1346,DRG50504,T3242,Corrosions involving 40-49% of body surface with 20-29% third degree corrosion
1347,DRG50504,T3243,Corrosions involving 40-49% of body surface with 30-39% third degree corrosion
1348,DRG50504,T3244,Corrosions involving 40-49% of body surface with 40-49% third degree corrosion
1349,DRG50504,T3251,Corrosions involving 50-59% of body surface with 10-19% third degree corrosion
1350,DRG50504,T3252,Corrosions involving 50-59% of body surface with 20-29% third degree corrosion
1351,DRG50504,T3253,Corrosions involving 50-59% of body surface with 30-39% third degree corrosion
1352,DRG50504,T3254,Corrosions involving 50-59% of body surface with 40-49% third degree corrosion
1353,DRG50504,T3255,Corrosions involving 50-59% of body surface with 50-59% third degree corrosion
