DRG,CM-PCS,en
DRG50504,T3141,Burns involving 40-49% of body surface with 10-19% third degree burns
DRG50504,T3142,Burns involving 40-49% of body surface with 20-29% third degree burns
DRG50504,T3143,Burns involving 40-49% of body surface with 30-39% third degree burns
DRG50504,T3144,Burns involving 40-49% of body surface with 40-49% third degree burns
DRG50504,T3151,Burns involving 50-59% of body surface with 10-19% third degree burns
DRG50504,T3152,Burns involving 50-59% of body surface with 20-29% third degree burns
DRG50504,T3153,Burns involving 50-59% of body surface with 30-39% third degree burns
DRG50504,T3154,Burns involving 50-59% of body surface with 40-49% third degree burns
DRG50504,T3155,Burns involving 50-59% of body surface with 50-59% third degree burns
DRG50504,T3241,Corrosions involving 40-49% of body surface with 10-19% third degree corrosion
DRG50504,T3242,Corrosions involving 40-49% of body surface with 20-29% third degree corrosion
DRG50504,T3243,Corrosions involving 40-49% of body surface with 30-39% third degree corrosion
DRG50504,T3244,Corrosions involving 40-49% of body surface with 40-49% third degree corrosion
DRG50504,T3251,Corrosions involving 50-59% of body surface with 10-19% third degree corrosion
DRG50504,T3252,Corrosions involving 50-59% of body surface with 20-29% third degree corrosion
DRG50504,T3253,Corrosions involving 50-59% of body surface with 30-39% third degree corrosion
DRG50504,T3254,Corrosions involving 50-59% of body surface with 40-49% third degree corrosion
DRG50504,T3255,Corrosions involving 50-59% of body surface with 50-59% third degree corrosion
