DRG25701	雙側乳房原位癌全切除術或全乳房重建，有合併症或併發症
DRG25801	雙側乳房原位癌全切除術或全乳房重建，無合併症或併發症
DRG25702	單側乳房原位癌全切除術，有合併症或併發症
DRG25802	單側乳房原位癌全切除術，無合併症或併發症
DRG259	乳房原位癌次全切除術，有合併症或併發症
DRG260	乳房原位癌次全切除術，無合併症或併發症
DRG26101	雙側乳房非惡性腫瘤手術，活體切片及局部切除術除外
DRG26102	單側乳房非惡性腫瘤手術，活體切片及局部切除術除外
DRG26201	乳房非惡性腫瘤之活體切片及局部切除術，有合併症或併發症
DRG26202	乳房非惡性腫瘤之活體切片及局部切除術，無合併症或併發症
DRG26301	皮膚潰瘍或蜂窩組織炎，皮膚重建相關顯微手術，有合併症或併發症
DRG26401	皮膚潰瘍或蜂窩組織炎，皮膚重建相關顯微手術，無合併症或併發症
DRG26302	皮膚潰瘍或蜂窩組織炎，皮膚重建相關手術，有合併症或併發症
DRG26402	皮膚潰瘍或蜂窩組織炎，皮膚重建相關手術，無合併症或併發症
DRG26303	皮膚潰瘍或蜂窩組織炎，其他皮膚移植或擴創術，有合併症或併發症
DRG26403	皮膚潰瘍或蜂窩組織炎，其他皮膚移植或擴創術，無合併症或併發症
DRG26501	皮膚重建相關顯微手術，皮膚潰瘍或蜂窩組織炎除外，有合併症或併發症
DRG26601	皮膚重建相關顯微手術，皮膚潰瘍或蜂窩組織炎除外，無合併症或併發症
DRG26502	皮膚重建相關手術，皮膚潰瘍或蜂窩組織炎除外，有合併症或併發症
DRG26602	皮膚重建相關手術，皮膚潰瘍或蜂窩組織炎除外，無合併症或併發症
DRG26503	其他皮膚移植或擴創術，皮膚潰瘍或蜂窩組織炎除外，有合併症或併發症
DRG26603	其他皮膚移植或擴創術，皮膚潰瘍或蜂窩組織炎除外，無合併症或併發症
DRG26701	肛門周圍及潛毛性手術 ，有合併症或併發症
DRG26702	肛門周圍及潛毛性手術 ，無合併症或併發症
DRG26801	皮膚、皮下組織及乳房整形手術，有合併症或併發症
DRG26802	皮膚、皮下組織及乳房整形手術，無合併症或併發症
DRG269	其他皮膚、皮下組織及乳房手術，有合併症或併發症
DRG270	其他皮膚、皮下組織及乳房手術，無合併症或併發症
DRG27101	皮膚潰瘍，有合併症或併發症
DRG27102	皮膚潰瘍，無合併症或併發症
DRG27204	重大皮膚疾患(4)，有合併症或併發症
DRG27304	重大皮膚疾患(4)，無合併症或併發症
DRG27205	重大皮膚疾患(5)，有合併症或併發症
DRG27305	重大皮膚疾患(5)，無合併症或併發症
DRG27206	重大皮膚疾患(6)，有合併症或併發症
DRG27306	重大皮膚疾患(6)，無合併症或併發症
DRG27201	重大皮膚疾患(1)，有合併症或併發症
DRG27301	重大皮膚疾患(1)，無合併症或併發症
DRG27202	重大皮膚疾患(2)，有合併症或併發症
DRG27302	重大皮膚疾患(2)，無合併症或併發症
DRG274	乳房原位癌，有合併症或併發症
DRG275	乳房原位癌，無合併症或併發症
DRG27601	非惡性乳房疾患，有合併症或併發症
DRG27602	非惡性乳房疾患，無合併症或併發症
DRG277	蜂窩組織炎，年齡大於等於18歲，有合併症或併發症
DRG278	蜂窩組織炎，年齡大於等於18歲，無合併症或併發症
DRG27901	蜂窩組織炎，年齡0-17歲，有合併症或併發症
DRG27902	蜂窩組織炎，年齡0-17歲，無合併症或併發症
DRG280	皮膚、皮下組織及乳房創傷，年齡大於等於18歲，有合併症或併發症
DRG281	皮膚、皮下組織及乳房創傷，年齡大於等於18歲，無合併症或併發症
DRG282	皮膚、皮下組織及乳房創傷，年齡0-17歲
DRG28301	輕度皮膚疾患(1)，有合併症或併發症
DRG28401	輕度皮膚疾患(1)，無合併症或併發症
DRG28302	輕度皮膚疾患(2)，有合併症或併發症
DRG28402	輕度皮膚疾患(2)，無合併症或併發症
