DRG30201	腎移植，有合併症或併發症
DRG30202	腎移植，無合併症或併發症
DRG30301	腎、輸尿管及膀胱良性腫瘤手術，有合併症或併發症
DRG30302	腎、輸尿管及膀胱良性腫瘤手術，無合併症或併發症
DRG30303	腎、輸尿管及膀胱原位癌手術，有合併症或併發症 
DRG30304	腎、輸尿管及膀胱原位癌手術，無合併症或併發症 
DRG304	腎、輸尿管及膀胱非惡性腫瘤手術，有合併症或併發症
DRG305	腎、輸尿管及膀胱非惡性腫瘤手術，無合併症或併發症
DRG306	攝護腺切除術，有合併症或併發症
DRG307	攝護腺切除術，無合併症或併發症
DRG308	膀胱小手術，有合併症或併發症
DRG309	膀胱小手術，無合併症或併發症
DRG31001	雙側或多發性尿路結石手術，有複雜次診斷
DRG31002	雙側或多發性尿路結石手術，無複雜次診斷，有合併症或併發症
DRG31102	雙側或多發性尿路結石手術，無複雜次診斷，無合併症或併發症
DRG31003	鹿角性結石或巨大腎結石手術，有複雜次診斷
DRG31004	鹿角性結石或巨大腎結石手術，無複雜次診斷，有合併症或併發症
DRG31104	鹿角性結石或巨大腎結石手術，無複雜次診斷，無合併症或併發症
DRG31005	其他尿路結石手術，有合併症或併發症
DRG31105	其他尿路結石手術，無合併症或併發症
DRG31006	其他經由尿道之手術，有體外震波碎石術，有合併症或併發症
DRG31106	其他經由尿道之手術，有體外震波碎石術，無合併症或併發症
DRG31007	其他經由尿道之手術，無體外震波碎石術，有合併症或併發症
DRG31107	其他經由尿道之手術，無體外震波碎石術，無合併症或併發症
DRG31201	尿道下裂、上裂手術，年齡大於等於18歲，有合併症或併發症
DRG31301	尿道下裂、上裂手術，年齡大於等於18歲，無合併症或併發症
DRG31401	尿道下裂、上裂手術，年齡0-17歲
DRG31202	其他尿道手術，年齡大於等於18歲，有合併症或併發症
DRG31302	其他尿道手術，年齡大於等於18歲，無合併症或併發症
DRG31402	其他尿道手術，年齡0-17歲
DRG31501	其他腎及尿道手術，有合併症或併發症
DRG31502	其他腎及尿道手術，無合併症或併發症
DRG31605	腎衰竭，洗腎及洗腎導管置入術，年齡>=18歲，有合併症或併發症
DRG31606	腎衰竭，洗腎及洗腎導管置入術，年齡>=18歲，無合併症或併發症
DRG31607	腎衰竭，洗腎及洗腎導管置入術，年齡0-17歲
DRG31601	腎衰竭，洗腎，無洗腎導管置入術，年齡>=18歲，有合併症或併發症
DRG31602	腎衰竭，洗腎，無洗腎導管置入術，年齡>=18歲，無合併症或併發症
DRG31608	腎衰竭，洗腎，無洗腎導管置入術，年齡0-17歲
DRG31603	腎衰竭，無洗腎，有合併症或併發症
DRG31604	腎衰竭，無洗腎，無合併症或併發症
DRG317	住診血液透析
