DRG334	男性骨盆手術，有合併症或併發症
DRG335	男性骨盆手術，無合併症或併發症
DRG33601	經尿道攝護腺切除術，有疝氣手術，有內視鏡取石術，有合併症或併發症
DRG33701	經尿道攝護腺切除術，有疝氣手術，有內視鏡取石術，無合併症或併發症
DRG33602	經尿道攝護腺切除術，有疝氣手術，無內視鏡取石術，有合併症或併發症
DRG33702	經尿道攝護腺切除術，有疝氣手術，無內視鏡取石術，無合併症或併發症
DRG33603	經尿道攝護腺切除術，無疝氣手術，有內視鏡取石術，有合併症或併發症
DRG33703	經尿道攝護腺切除術，無疝氣手術，有內視鏡取石術，無合併症或併發症
DRG33604	經尿道攝護腺切除術，無疝氣手術，無內視鏡取石術，有合併症或併發症
DRG33704	經尿道攝護腺切除術，無疝氣手術，無內視鏡取石術，無合併症或併發症
DRG338	睪丸原位癌手術
DRG33901	睪丸非惡性腫瘤手術，年齡大於等於18歲，有合併症或併發症
DRG33902	睪丸非惡性腫瘤手術，年齡大於等於18歲，無合併症或併發症
DRG34001	睪丸非惡性腫瘤手術，年齡0-17歲，有合併症或併發症
DRG34002	睪丸非惡性腫瘤手術，年齡0-17歲，無合併症或併發症
DRG34101	陰莖手術，年齡大於等於2歲，有合併症或併發症
DRG34102	陰莖手術，年齡大於等於2歲，無合併症或併發症
DRG34103	陰莖手術，年齡0-1歲，有合併症或併發症
DRG34104	陰莖手術，年齡0-1歲，無合併症或併發症
DRG34201	包皮環割術，年齡大於等於18歲，有合併症或併發症
DRG34202	包皮環割術，年齡大於等於18歲，無合併症或併發症
DRG34301	包皮環割術，年齡為0-17歲，有合併症或併發症
DRG34302	包皮環割術，年齡為0-17歲，無合併症或併發症
DRG344	男性生殖系統原位癌之手術
DRG34501	其他男性生殖系統手術，惡性腫瘤除外，有合併症或併發症
DRG34502	其他男性生殖系統手術，惡性腫瘤除外，無合併症或併發症
DRG346	男性生殖系統原位癌，有合併症或併發症
DRG347	男性生殖系統原位癌，無合併症或併發症
DRG348	良性攝護腺肥大，有合併症或併發症
DRG349	良性攝護腺肥大，無合併症或併發症
DRG35001	男性生殖系統炎症，有合併症或併發症
DRG35002	男性生殖系統炎症，無合併症或併發症
DRG35201	其他男性生殖系統之診斷(1)
DRG35202	其他男性生殖系統之診斷(2)，有合併症或併發症
DRG35203	其他男性生殖系統之診斷(2)，無合併症或併發症
DRG35204	其他男性生殖系統之診斷(3)，有合併症或併發症
DRG35205	其他男性生殖系統之診斷(3)，無合併症或併發症
