DRG35301	骨盆腔臟器摘除術，根除性子宮切除術及女陰切除術，有合併症或併發症
DRG35302	骨盆腔臟器摘除術，根除性子宮切除術及女陰切除術，無合併症或併發症
DRG35603	女性生殖系統多重整形術，有尿失禁手術，有合併症或併發症
DRG35604	女性生殖系統整形術，有尿失禁手術，無合併症或併發症
DRG35605	女性生殖系統多重整形術，無尿失禁手術，有合併症或併發症
DRG35606	女性生殖系統整形術，無尿失禁手術，無合併症或併發症
DRG35607	其他女性生殖系統多重整形術，有合併症或併發症
DRG35608	其他女性生殖系統多重整形術，無合併症或併發症
DRG35601	其他女性生殖系統單純整形術，有合併症或併發症
DRG35602	其他女性生殖系統單純整形術，無合併症或併發症
DRG35801	腹腔鏡子宮切除術，併尿失禁手術，有合併症或併發症
DRG35901	腹腔鏡子宮切除術，併尿失禁手術，無合併症或併發症
DRG35802	腹腔鏡子宮切除術，無尿失禁手術，有合併症或併發症
DRG35902	腹腔鏡子宮切除術，無尿失禁手術，無合併症或併發症
DRG35803	傳統子宮切除術，併尿失禁手術，有合併症或併發症
DRG35903	傳統子宮切除術，併尿失禁手術，無合併症或併發症
DRG35804	傳統子宮切除術，無尿失禁手術，有合併症或併發症
DRG35904	傳統子宮切除術，無尿失禁手術，無合併症或併發症
DRG35805	其他雙側腹腔鏡子宮及其附屬器官手術，有合併症或併發症
DRG35905	其他雙側腹腔鏡子宮及其附屬器官手術，無合併症或併發症
DRG35807	其他單側腹腔鏡子宮及其附屬器官手術，有合併症或併發症
DRG35907	其他單側腹腔鏡子宮及其附屬器官手術，無合併症或併發症
DRG35806	其他雙側傳統子宮及其附屬器官手術，有合併症或併發症
DRG35906	其他雙側傳統子宮及其附屬器官手術，無合併症或併發症
DRG35808	其他單側傳統子宮及其附屬器官手術，有合併症或併發症
DRG35908	其他單側傳統子宮及其附屬器官手術，無合併症或併發症
DRG36001	陰道、子宮頸及陰唇手術，有合併症或併發症
DRG36002	陰道、子宮頸及陰唇手術，無合併症或併發症
DRG36101	腹腔鏡及輸卵管阻塞切開術，有合併症或併發症
DRG36102	腹腔鏡及輸卵管阻塞切開術，無合併症或併發症
DRG363	原位癌之子宮擴刮術、錐狀切除術及放射線植入術
DRG364	子宮擴刮術及椎切術，惡性腫瘤除外
DRG36501	其他女性生殖系統手術，有合併症或併發症
DRG36502	其他女性生殖系統手術，無合併症或併發症
DRG36604	女性生殖系統原位癌，有合併症或併發症
DRG36704	女性生殖系統原位癌，無合併症或併發症
DRG36801	女性生殖系統感染，有合併症或併發症
DRG36802	女性生殖系統感染，無合併症或併發症
DRG36901	月經及其他女性生殖系統疾患，有合併症或併發症
DRG36902	月經及其他女性生殖系統疾患，無合併症或併發症
