DRG39201	脾臟切除術，年齡大於等於18歲，有合併症或併發症
DRG39202	脾臟切除術，年齡大於等於18歲，無合併症或併發症
DRG39301	脾臟切除術，年齡0-17歲，有合併症或併發症
DRG39302	脾臟切除術，年齡0-17歲，無合併症或併發症
DRG39401	血液及造血器官之其他手術，有合併症或併發症
DRG39402	血液及造血器官之其他手術，無合併症或併發症
DRG39501	再生不良性貧血，年齡大於等於18歲，有合併症或併發症
DRG39504	再生不良性貧血，年齡大於等於18歲，無合併症或併發症
DRG39601	再生不良性貧血，年齡0-17歲，有合併症或併發症
DRG39604	再生不良性貧血，年齡0-17歲，無合併症或併發症
DRG39505	其他貧血，年齡大於等於18歲，有合併症或併發症
DRG39506	其他貧血，年齡大於等於18歲，無合併症或併發症
DRG39605	其他貧血，年齡0-17歲，有合併症或併發症
DRG39606	其他貧血，年齡0-17歲，無合併症或併發症
DRG39507	缺鐵性貧血，年齡大於等於18歲，有合併症或併發症
DRG39508	缺鐵性貧血，年齡大於等於18歲，無合併症或併發症
DRG39607	缺鐵性貧血，年齡0-17歲，有合併症或併發症
DRG39608	缺鐵性貧血，年齡0-17歲，無合併症或併發症
DRG39509	地中海型貧血，年齡大於等於18歲，有合併症或併發症
DRG39510	地中海型貧血，年齡大於等於18歲，無合併症或併發症
DRG39609	地中海型貧血，年齡0-17歲，有合併症或併發症
DRG39610	地中海型貧血，年齡0-17歲，無合併症或併發症
DRG39502	其他紅血球疾患，有胃鏡或腸鏡，年齡大於等於18歲，有合併症或併發症
DRG39503	其他紅血球疾患，有胃鏡或腸鏡，年齡大於等於18歲，無合併症或併發症
DRG39602	其他紅血球疾患，有胃鏡或腸鏡，年齡0-17歲，有合併症或併發症
DRG39603	其他紅血球疾患，有胃鏡或腸鏡，年齡0-17歲，無合併症或併發症
DRG39511	其他紅血球疾患，無胃鏡或腸鏡，年齡大於等於18歲，有合併症或併發症
DRG39512	其他紅血球疾患，無胃鏡或腸鏡，年齡大於等於18歲，無合併症或併發症
DRG39611	其他紅血球疾患，無胃鏡或腸鏡，年齡0-17歲，有合併症或併發症
DRG39612	其他紅血球疾患，無胃鏡或腸鏡，年齡0-17歲，無合併症或併發症
DRG39701	VON WILLEBRAND'S DISEASE，有合併症或併發症
DRG39702	VON WILLEBRAND'S DISEASE，無合併症或併發症
DRG39703	去纖維蛋白徵候群，有合併症或併發症
DRG39704	去纖維蛋白徵候群，無合併症或併發症
DRG39707	其他特定血液凝固缺陷，有合併症或併發症
DRG39708	其他特定血液凝固缺陷，無合併症或併發症
DRG39709	原發性血小板缺乏症，有合併症或併發症
DRG39710	原發性血小板缺乏症，無合併症或併發症
DRG39711	循環中抗凝血物質所致之出血性疾患，有合併症或併發症
DRG39712	循環中抗凝血物質所致之出血性疾患，無合併症或併發症
DRG39705	其他血液凝固缺陷，有合併症或併發症
DRG39706	其他血液凝固缺陷，無合併症或併發症
DRG39805	顆粒性白血球缺乏症，有合併症或併發症
DRG39905	顆粒性白血球缺乏症，無合併症或併發症
DRG39806	其他白血球疾病，有合併症或併發症
DRG39906	其他白血球疾病，無合併症或併發症
DRG39814	組織球症，有合併症或併發症
DRG39914	組織球症，無合併症或併發症
DRG39802	網狀內皮及免疫性疾患(1)，有合併症或併發症
DRG39902	網狀內皮及免疫性疾患(1)，無合併症或併發症
DRG39807	淋巴結腫大，年齡大於等於18歲，有合併症或併發症
DRG39808	淋巴結腫大，年齡7-17歲，有合併症或併發症
DRG39809	淋巴結腫大，年齡0-6歲，有合併症或併發症
DRG39907	淋巴結腫大，年齡大於等於18歲，無合併症或併發症
DRG39908	淋巴結腫大，年齡7-17歲，無合併症或併發症
DRG39909	淋巴結腫大，年齡0-6歲，無合併症或併發症
DRG39803	網狀內皮及免疫性疾患(2)，年齡大於等於18歲，有合併症或併發症
DRG39810	網狀內皮及免疫性疾患(2)，年齡7-17歲，有合併症或併發症
DRG39811	網狀內皮及免疫性疾患(2)，年齡0-6歲，有合併症或併發症
DRG39903	網狀內皮及免疫性疾患(2)，年齡大於等於18歲，無合併症或併發症
DRG39910	網狀內皮及免疫性疾患(2)，年齡7-17歲，無合併症或併發症
DRG39911	網狀內皮及免疫性疾患(2)，年齡0-6歲，無合併症或併發症
DRG39812	淋巴結核疾患，有合併症或併發症
DRG39912	淋巴結核疾患，無合併症或併發症
DRG39813	免疫機轉之疾患，有合併症或併發症
DRG39913	免疫機轉之疾患，無合併症或併發症
DRG39804	網狀內皮及免疫性疾患(3)，有合併症或併發症
DRG39904	網狀內皮及免疫性疾患(3)，無合併症或併發症
DRG39815	抗磷脂症候群，有合併症或併發症
DRG39915	抗磷脂症候群，無合併症或併發症
DRG24007	結締組織疾患(4)，有合併症或併發症
DRG24107	結締組織疾患(4)，無合併症或併發症
