DRG40001	血漿蛋白代謝疾患之手術，有合併症或併發症
DRG40002	血漿蛋白代謝疾患之手術，無合併症或併發症
DRG401	血漿蛋白代謝疾患之立體定位放射性外科手術，有合併症或併發症
DRG402	血漿蛋白代謝疾患之立體定位放射性外科手術，無合併症或併發症
DRG40301	血漿蛋白代謝疾患，有合併症或併發症
DRG40401	血漿蛋白代謝疾患，無合併症或併發症
DRG40601	肺挫構瘤手術，有合併症或併發症
DRG40701	肺挫構瘤手術，無合併症或併發症
DRG40602	其他骨髓增生性疾病或分化不明腫瘤重大手術，有合併症或併發症
DRG40702	其他骨髓增生性疾病或分化不明腫瘤重大手術，無合併症或併發症
DRG40801	骨髓增生性疾病或分化不明腫瘤之其他手術，有合併症或併發症
DRG40802	骨髓增生性疾病或分化不明腫瘤之其他手術，無合併症或併發症
DRG41101	未做內視鏡檢查之惡性腫瘤病史，有合併症或併發症
DRG41102	未做內視鏡檢查之惡性腫瘤病史，無合併症或併發症
DRG412	伴有內視鏡檢查之惡性腫瘤病史
DRG413	其他骨髓增生性疾病或分化不明腫瘤之診斷，有合併症或併發症
DRG414	其他骨髓增生性疾病或分化不明腫瘤診斷，無合併症或併發症
