DRG46101	診斷需要其他醫療服務之手術，年齡大於等於18歲
DRG46102	診斷需要其他醫療服務之手術，年齡0-17歲，有合併症或併發症
DRG46103	診斷需要其他醫療服務之手術，年齡0-17歲，無合併症或併發症
DRG46201	復健，含物理治療、職能治療及語言治療，年齡大於等於18歲，有合併症或併發症
DRG46202	復健，含物理治療、職能治療及語言治療，年齡大於等於18歲，無合併症或併發症
DRG46203	復健，含物理治療、職能治療及語言治療，年齡0-17歲，有合併症或併發症
DRG46204	復健，含物理治療、職能治療及語言治療，年齡0-17歲，無合併症或併發症
DRG46205	復健，含物理治療、職能治療，年齡大於等於18歲，有合併症或併發症
DRG46206	復健，含物理治療、職能治療，年齡大於等於18歲，無合併症或併發症
DRG46207	復健，含物理治療、職能治療，年齡0-17歲，有合併症或併發症
DRG46208	復健，含物理治療、職能治療，年齡0-17歲，無合併症或併發症
DRG46209	其他復健，年齡大於等於18歲，有合併症或併發症
DRG46210	其他復健，年齡大於等於18歲，無合併症或併發症
DRG46211	其他復健，年齡0-17歲，有合併症或併發症
DRG46212	其他復健，年齡0-17歲，無合併症或併發症
DRG463	症狀及徵候，有合併症或併發症
DRG464	症狀及徵候，無合併症或併發症
DRG465	次要診斷為惡性腫瘤病史之恢復期調養
DRG46601	次要診斷為非惡性腫瘤病史之恢復期調養，有合併症或併發症
DRG46602	次要診斷為非惡性腫瘤病史之恢復期調養，無合併症或併發症
DRG46701	器官捐贈者，有合併症或併發症
DRG46702	器官捐贈者，無合併症或併發症
DRG46703	其他影響健康狀態之因素，有合併症或併發症
DRG46704	其他影響健康狀態之因素，無合併症或併發症
