DRG 46801 	EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS AGE ≧18 WITH CC
DRG 46802	EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS AGE ≧18 WITHOUT CC
DRG 46803	EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS AGE 0-17 WITH CC
DRG 46804	EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS AGE 0-17 WITHOUT CC
DRG 47601	PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
DRG 47602	PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC
DRG 47701	NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS AGE ≧18 WITH CC
DRG 47702	NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS AGE ≧18 WITHOUT CC
DRG 47703	NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS AGE 0-17 WITH CC
DRG 47704	NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS AGE 0-17 WITHOUT CC
