DRG00101	腦血管疾病行顱骨切開術，有呼吸器，年齡大於等於18歲，有合併症或併發症
DRG00102	腦血管疾病行顱骨切開術，有呼吸器，年齡大於等於18歲，無合併症或併發症
DRG00103	腦血管疾病行顱骨切開術，無呼吸器，年齡大於等於18歲，有合併症或併發症
DRG00104	腦血管疾病行顱骨切開術，無呼吸器，年齡大於等於18歲，無合併症或併發症
DRG00105	其他診斷行顱骨切開術，創傷除外，有呼吸器，年齡大於等於18歲，有合併症或併發症
DRG00106	其他診斷行顱骨切開術，創傷除外，有呼吸器，年齡大於等於18歲，無合併症或併發症
DRG00107	其他診斷行顱骨切開術，創傷除外，無呼吸器，年齡大於等於18歲，有合併症或併發症
DRG00108	其他診斷行顱骨切開術，創傷除外，無呼吸器，年齡大於等於18歲，無合併症或併發症
DRG00201	顱骨切開術，含有創傷，有呼吸器，有復健，年齡大於等於18歲，有合併症或併發症
DRG00202	顱骨切開術，含有創傷，有呼吸器，有復健，年齡大於等於18歲，無合併症或併發症
DRG00203	顱骨切開術，含有創傷，有呼吸器，無復健，年齡大於等於18歲，有合併症或併發症
DRG00204	顱骨切開術，含有創傷，有呼吸器，無復健，年齡大於等於18歲，無合併症或併發症
DRG00205	顱骨切開術，含有創傷，無呼吸器，有復健，年齡大於等於18歲，有合併症或併發症
DRG00206	顱骨切開術，含有創傷，無呼吸器，有復健，年齡大於等於18歲，無合併症或併發症
DRG00207	顱骨切開術，含有創傷，無呼吸器，無復健，年齡大於等於18歲，有合併症或併發症
DRG00208	顱骨切開術，含有創傷，無呼吸器，無復健，年齡大於等於18歲，無合併症或併發症
DRG00301	顱骨切開術，年齡0-17歲，有復健，有合併症或併發症
DRG00302	顱骨切開術，年齡0-17歲，有復健，無合併症或併發症
DRG00303	顱骨切開術，年齡0-17歲，無復健，有合併症或併發症
DRG00304	顱骨切開術，年齡0-17歲，無復健，無合併症或併發症
DRG00401	脊椎手術，有復健，年齡大於等於18歲，有合併症或併發症
DRG00402	脊椎手術，有復健，年齡大於等於18歲，無合併症或併發症
DRG00403	脊椎手術，有復健，年齡 0-17歲，有合併症或併發症
DRG00404	脊椎手術，有復健，年齡 0-17歲，無合併症或併發症
DRG00405	脊椎手術，無復健，年齡大於等於18歲，有合併症或併發症
DRG00406	脊椎手術，無復健，年齡大於等於18歲，無合併症或併發症
DRG00407	脊椎手術，無復健，年齡 0-17歲，有合併症或併發症
DRG00408	脊椎手術，無復健，年齡 0-17歲，無合併症或併發症
DRG00503	腦血管疾病行內視鏡顱內血管手術，有頭頸部血管支架，有合併症或併發症
DRG00504	腦血管疾病行內視鏡顱內血管手術，有頭頸部血管支架，無合併症或併發症
DRG00505	腦血管疾病行內視鏡顱內血管手術，無頭頸部血管支架，有合併症或併發症
DRG00506	腦血管疾病行內視鏡顱內血管手術，無頭頸部血管支架，無合併症或併發症
DRG00507	非腦血管疾病行內視鏡顱內血管手術，有頭頸部血管支架，有合併症或併發症
DRG00508	非腦血管疾病行內視鏡顱內血管手術，有頭頸部血管支架，無合併症或併發症
DRG00509	非腦血管疾病行內視鏡顱內血管手術，無頭頸部血管支架，有合併症或併發症
DRG00510	非腦血管疾病行內視鏡顱內血管手術，無頭頸部血管支架，無合併症或併發症
DRG00501	顱外血管手術，有合併症或併發症
DRG00502	顱外血管手術，無合併症或併發症 
DRG00601	腕隧道鬆解術，有合併症或併發症
DRG00602	腕隧道鬆解術， 無合併症或併發症
DRG00711	末梢神經、腦神經及其他神經之切開、切除或鬆解術，有合併症或併發症
DRG00811	末梢神經、腦神經及其他神經之切開、切除或鬆解術，無合併症或併發症
DRG00712	末梢神經、腦神經及其他神經之修補及重建，有合併症或併發症
DRG00812	末梢神經、腦神經及其他神經之修補及重建，無有合併症或併發症
DRG00713	四肢手術，有合併症或併發症
DRG00813	四肢手術，無合併症或併發症
DRG00714	組織及皮瓣移植，有合併症或併發症
DRG00814	組織及皮瓣移植，無合併症或併發症
DRG00715	裝置物置入或移除，有合併症或併發症
DRG00815	裝置物置入或移除，無合併症或併發症
DRG00716	顱顏手術，有合併症或併發症
DRG00816	顱顏手術，無合併症或併發症
DRG00717	其他心臟或內分泌相關手術，有合併症或併發症
DRG00817	其他心臟或內分泌相關手術，無合併症或併發症
DRG00718	放射性手術，有合併症或併發症
DRG00818	放射性手術，無合併症或併發症
DRG00901	脊椎疾患及損傷(1)，有復健，有合併症或併發症
DRG00902	脊椎疾患及損傷(1)，有復健，無合併症或併發症
DRG00911	脊椎疾患及損傷(1)，無復健，有合併症或併發症
DRG00912	脊椎疾患及損傷(1)，無復健，無合併症或併發症
DRG00913	脊椎疾患及損傷(2)，有復健，有合併症或併發症
DRG00914	脊椎疾患及損傷(2)，有復健，無合併症或併發症
DRG00915	脊椎疾患及損傷(2)，無復健，有合併症或併發症
DRG00916	脊椎疾患及損傷(2)，無復健，無合併症或併發症
DRG00917	脊椎疾患及損傷(3)，有復健
DRG00918	脊椎疾患及損傷(3)，無復健
DRG00919	脊椎疾患及損傷(4)，有復健
DRG00920	脊椎疾患及損傷(4)，無復健
DRG01001	神經系統良性腫瘤(1)，有合併症或併發症
DRG01101	神經系統良性腫瘤(1)，無合併症或併發症
DRG01002	神經系統良性腫瘤(2)，有合併症或併發症
DRG01102	神經系統良性腫瘤(2)，無合併症或併發症
DRG01211	庫賈氏症，有復健，有合併症或併發症
DRG01212	庫賈氏症，有復健，無合併症或併發症
DRG01213	庫賈氏症，無復健，有合併症或併發症
DRG01214	庫賈氏症，無復健，無合併症或併發症
DRG01215	變質性神經系統疾患(1)，有復健，有合併症或併發症
DRG01216	變質性神經系統疾患(1)，有復健，無合併症或併發症
DRG01217	變質性神經系統疾患(1)，無復健，有合併症或併發症
DRG01218	變質性神經系統疾患(1)，無復健，無合併症或併發症
DRG01221	變質性神經系統疾患(2)，有血漿置換術，有呼吸器，有復健，有合併症或併發症
DRG01222	變質性神經系統疾患(2)，有血漿置換術，有呼吸器，有復健，無合併症或併發症
DRG01223	變質性神經系統疾患(2)，有血漿置換術，有呼吸器，無復健，有合併症或併發症
DRG01224	變質性神經系統疾患(2)，有血漿置換術，有呼吸器，無復健，無合併症或併發症
DRG01225	變質性神經系統疾患(2)，有血漿置換術，無呼吸器，有復健，有合併症或併發症
DRG01226	變質性神經系統疾患(2)，有血漿置換術，無呼吸器，有復健，無合併症或併發症
DRG01227	變質性神經系統疾患(2)，有血漿置換術，無呼吸器，無復健，有合併症或併發症
DRG01228	變質性神經系統疾患(2)，有血漿置換術，無呼吸器，無復健，無合併症或併發症
DRG01229	變質性神經系統疾患(2)，無血漿置換術，有呼吸器，有復健，有合併症或併發症
DRG01230	變質性神經系統疾患(2)，無血漿置換術，有呼吸器，有復健，無合併症或併發症
DRG01231	變質性神經系統疾患(2)，無血漿置換術，有呼吸器，無復健，有合併症或併發症
DRG01232	變質性神經系統疾患(2)，無血漿置換術，有呼吸器，無復健，無合併症或併發症
DRG01233	變質性神經系統疾患(2)，無血漿置換術，無呼吸器，有復健，有合併症或併發症
DRG01234	變質性神經系統疾患(2)，無血漿置換術，無呼吸器，有復健，無合併症或併發症
DRG01235	變質性神經系統疾患(2)，無血漿置換術，無呼吸器，無復健，有合併症或併發症
DRG01236	變質性神經系統疾患(2)，無血漿置換術，無呼吸器，無復健，無合併症或併發症
DRG01301	小腦運動失調(1)，有合併症或併發症
DRG01302	小腦運動失調(1)，無合併症或併發症
DRG01303	多發性硬化症，有血漿置換術，有合併症或併發症
DRG01304	多發性硬化症，有血漿置換術，無合併症或併發症
DRG01305	多發性硬化症，無血漿置換術，有合併症或併發症
DRG01306	多發性硬化症，無血漿置換術，無合併症或併發症
DRG01307	其他中樞神經系統之脫髓鞘疾病，有血漿置換術，有合併症或併發症
DRG01308	其他中樞神經系統之脫髓鞘疾病，有血漿置換術，無合併症或併發症
DRG01309	其他中樞神經系統之脫髓鞘疾病，無血漿置換術，有合併症或併發症
DRG01310	其他中樞神經系統之脫髓鞘疾病，無血漿置換術，無合併症或併發症
