DRG03603	微創視網膜手術合併玻璃體手術-複雜，合併白內障水晶體手術
DRG03604	微創視網膜手術合併玻璃體手術-複雜
DRG03605	微創視網膜手術合併玻璃體手術-單純
DRG03601	視網膜手術合併玻璃體手術
DRG03602	視網膜手術無合併玻璃體手術
DRG03701	雙側眼窩手術(1)，年齡0-17歲或有複雜次診斷 
DRG03702	雙側眼窩手術(1)，年齡大於等於18歲
DRG03711	單側眼窩手術(1)，年齡0-17歲或有複雜次診斷 
DRG03712	單側眼窩手術(1)，年齡大於等於18歲
DRG03703	眼窩手術(2)，年齡0-17歲或有複雜次診斷 
DRG03704	眼窩手術(2)，年齡大於等於18歲
DRG03705	眼窩手術(3)
DRG03706	眼窩手術(4)，年齡0-17歲或有複雜次診斷 
DRG03707	眼窩手術(4)，年齡大於等於18歲
DRG03801	原發性虹膜手術(1)
DRG03802	原發性虹膜手術(2)
DRG03901	雙側水晶體手術，含玻璃體切除術
DRG03903	單側水晶體手術，含玻璃體切除術
DRG03904	雙側水晶體手術，不含玻璃體切除術
DRG03905	單側水晶體手術，不含玻璃體切除術
DRG03902	眼異物移除手術，含玻璃體切除術
DRG03906	眼異物移除手術，不含玻璃體切除術
DRG04011	淚器手術，年齡大於等於18歲
DRG04111	淚器手術，年齡0-17歲
DRG04012	眼肌斜視手術，年齡大於等於18歲
DRG04112	眼肌斜視手術，年齡0-17歲
DRG04013	眼瞼重建手術，年齡大於等於18歲
DRG04113	眼瞼重建手術，年齡0-17歲
DRG04001	外眼手術，眼窩除外(1)，年齡大於等於18歲
DRG04101	外眼手術，眼窩除外(1)，年齡0-17歲
DRG04002	外眼手術，眼窩除外(2)，年齡大於等於18歲
DRG04102	外眼手術，眼窩除外(2)，年齡0-17歲
DRG04003	外眼手術，眼窩除外(3)，年齡大於等於18歲
DRG04103	外眼手術，眼窩除外(3)，年齡0-17歲
DRG04004	外眼手術，眼窩除外(4)，年齡大於等於18歲
DRG04104	外眼手術，眼窩除外(4)，年齡0-17歲
DRG04211	深層角膜移植手術併白內障水晶體手術
DRG04203	深層角膜移植手術無白內障水晶體手術
DRG04204	內皮細胞移植
DRG04205	異體穿透性角膜移植
DRG04201	其它眼內手術，視網膜、虹膜及水晶體除外
DRG04209	前房診斷及注射等簡單處置
DRG04210	虹膜睫狀體玻璃體切除
DRG04206	前房鞏膜重整手術
DRG04207	青光眼手術(1)
DRG04208	青光眼手術(2)
DRG04301	前房出血，有合併症或併發症
DRG04302	前房出血，無合併症或併發症
DRG04403	眼窩疾患，有合併症或併發症
DRG04404	眼窩疾患，無合併症或併發症
DRG04401	急性重大之眼睛感染，有合併症或併發症
DRG04402	急性重大之眼睛感染，無合併症或併發症
DRG04501	眼神經疾患(1)，有合併症或併發症
DRG04502	眼神經疾患(1)，無合併症或併發症
DRG04503	眼神經疾患(2)，有合併症或併發症
DRG04504	眼神經疾患(2)，無合併症或併發症
DRG04601	疱疹性眼睛疾患，年齡大於等於18歲，有合併症或併發症
DRG04701	疱疹性眼睛疾患，年齡大於等於18歲，無合併症或併發症
DRG04801	疱疹性眼睛疾患，年齡0-17歲
DRG04602	其他眼睛疾患，年齡大於等於18歲，有合併症或併發症
DRG04702	其他眼睛疾患，年齡大於等於18歲，無合併症或併發症
DRG04802	其他眼睛疾患，年齡0-17歲
