DRG07505	肺切除術，有合併症或併發症
DRG07506	肺切除術，無合併症或併發症
DRG07507	肺部病灶或組織局部切除或去除術 ，有合併症或併發症
DRG07508	肺部病灶或組織局部切除或去除術 ，無合併症或併發症
DRG07501	其他胸部手術(1)，有合併症或併發症
DRG07502	其他胸部手術(1)，無合併症或併發症
DRG07503	其他胸部手術(2)，有合併症或併發症
DRG07504	其他胸部手術(2)，無合併症或併發症
DRG07601	其他呼吸系統手術(1)，有合併症或併發症
DRG07701	其他呼吸系統手術(1)，無合併症或併發症
DRG07602	其他呼吸系統手術(2)，有合併症或併發症
DRG07702	其他呼吸系統手術(2)，無合併症或併發症
DRG07603	其他呼吸系統手術(3)，有合併症或併發症
DRG07703	其他呼吸系統手術(3)，無合併症或併發症
DRG07803	肺栓塞，併低血壓或休克
DRG07801	肺栓塞，無低血壓或休克，有合併症或併發症
DRG07802	肺栓塞，無低血壓或休克，無合併症或併發症
DRG07908	呼吸道感染及發炎(1)，住院隔離，年齡大於等於18歲，有合併症或併發症
DRG08008	呼吸道感染及發炎(1)，住院隔離，年齡大於等於18歲，無合併症或併發症
DRG07901	呼吸道感染及發炎(1)，無住院隔離，年齡大於等於18歲，有合併症或併發症
DRG08001	呼吸道感染及發炎(1)，無住院隔離，年齡大於等於18歲，無合併症或併發症
DRG08101	呼吸道感染及發炎(1)，年齡0-17歲，有合併症或併發症
DRG08102	呼吸道感染及發炎(1)，年齡0-17歲，無合併症或併發症
DRG07902	呼吸道感染及發炎(2)，年齡大於等於18歲，有合併症或併發症
DRG08002	呼吸道感染及發炎(2)，年齡大於等於18歲，無合併症或併發症
DRG08103	呼吸道感染及發炎(2)，年齡0-17歲，有合併症或併發症
DRG08104	呼吸道感染及發炎(2)，年齡0-17歲，無合併症或併發症
DRG07906	細菌性肺炎，年齡大於等於18歲，有合併症或併發症
DRG08006	細菌性肺炎，年齡大於等於18歲，無合併症或併發症
DRG08111	細菌性肺炎，年齡0-17歲，有合併症或併發症
DRG08112	細菌性肺炎，年齡0-17歲，無合併症或併發症
DRG07907	肺膿瘍，年齡大於等於18歲，有合併症或併發症
DRG08007	肺膿瘍，年齡大於等於18歲，無合併症或併發症
DRG08113	肺膿瘍，年齡0-17歲，有合併症或併發症
DRG08114	肺膿瘍，年齡0-17歲，無合併症或併發症
DRG07903	呼吸道感染及發炎(3)，年齡大於等於18歲，有合併症或併發症
DRG08003	呼吸道感染及發炎(3)，年齡大於等於18歲，無合併症或併發症
DRG08105	呼吸道感染及發炎(3)，年齡0-17歲，有合併症或併發症
DRG08106	呼吸道感染及發炎(3)，年齡0-17歲，無合併症或併發症
DRG07904	呼吸道感染及發炎(4)，年齡大於等於18歲，有合併症或併發症
DRG08004	呼吸道感染及發炎(4)，年齡大於等於18歲，無合併症或併發症
DRG08107	呼吸道感染及發炎(4)，年齡0-17歲，有合併症或併發症
DRG08108	呼吸道感染及發炎(4)，年齡0-17歲，無合併症或併發症
DRG07905	呼吸道感染及發炎(5)，年齡大於等於18歲，有合併症或併發症
DRG08005	呼吸道感染及發炎(5)，年齡大於等於18歲，無合併症或併發症
DRG08109	呼吸道感染及發炎(5)，年齡0-17歲
DRG082	呼吸道腫瘤
DRG08301	重大胸部創傷(1)，有合併症或併發症
DRG08401	重大胸部創傷(1)，無合併症或併發症
DRG08302	重大胸部創傷(2)，有合併症或併發症
DRG08402	重大胸部創傷(2)，無合併症或併發症
DRG08303	重大胸部創傷(3)，有合併症或併發症
DRG08403	重大胸部創傷(3)，無合併症或併發症
DRG085	胸（肋）膜積水，有合併症或併發症
DRG086	胸（肋）膜積水，無合併症或併發症
DRG08701	急性肺水腫及呼吸衰竭，有合併症或併發症
DRG08702	急性肺水腫及呼吸衰竭，無合併症或併發症
DRG08705	慢性或外傷性肺功能不足，有合併症或併發症
DRG08706	慢性或外傷性肺功能不足，無合併症或併發症
DRG08703	其他肺充血及水腫，有合併症或併發症
